"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","10744","username is empty","","2026-07-04","passed","2026-07-04","","Login Functionality","username is empty",""
"","10276","password is empty","","2026-07-04","passed","2026-07-04","","Login Functionality","password is empty",""
"","9747","wrong username and/or password","","2026-07-04","passed","2026-07-04","","Login Functionality","wrong username and/or password",""
"","9697","wrong username and/or password","","2026-07-04","passed","2026-07-04","","Login Functionality","wrong username and/or password",""
"","3082","Test if inventory is list as low to high","","2026-07-04","passed","2026-07-04","","Inventory Functionality","Test if inventory is list as low to high",""
"","10657","Successful Login","","2026-07-04","passed","2026-07-04","","Login Functionality","Successful Login",""
"","11410","Successful Login","","2026-07-04","passed","2026-07-04","","Login Functionality","Successful Login",""
"","3641","Test if all links are valid","","2026-07-04","passed","2026-07-04","","Inventory Functionality","Test if all links are valid",""
"","9995","Successful Login","","2026-07-04","passed","2026-07-04","","Login Functionality","Successful Login",""
"","10710","wrong username and/or password","","2026-07-04","passed","2026-07-04","","Login Functionality","wrong username and/or password",""
"","11167","wrong username and/or password","","2026-07-04","passed","2026-07-04","","Login Functionality","wrong username and/or password",""
