"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","7998","password is empty","","2026-07-15","passed","2026-07-15","","Login Functionality","password is empty",""
"","8174","wrong username and/or password","","2026-07-15","passed","2026-07-15","","Login Functionality","wrong username and/or password",""
"","7439","wrong username and/or password","","2026-07-15","passed","2026-07-15","","Login Functionality","wrong username and/or password",""
"","8924","Successful Login","","2026-07-15","passed","2026-07-15","","Login Functionality","Successful Login",""
"","2435","Test if inventory is list as low to high","","2026-07-15","passed","2026-07-15","","Inventory Functionality","Test if inventory is list as low to high",""
"","10961","wrong username and/or password","","2026-07-15","passed","2026-07-15","","Login Functionality","wrong username and/or password",""
"","3419","Test if all links are valid","","2026-07-15","passed","2026-07-15","","Inventory Functionality","Test if all links are valid",""
"","6124","username is empty","","2026-07-15","passed","2026-07-15","","Login Functionality","username is empty",""
"","8930","Successful Login","","2026-07-15","passed","2026-07-15","","Login Functionality","Successful Login",""
"","10224","Successful Login","","2026-07-15","passed","2026-07-15","","Login Functionality","Successful Login",""
"","8185","wrong username and/or password","","2026-07-15","passed","2026-07-15","","Login Functionality","wrong username and/or password",""
